sample,region
smp_SRS013585,vagina
smp_SRS013638,stool
smp_SRS013646,mouth
smp_SRS013650,mouth
smp_SRS013652,mouth
smp_SRS013654,mouth
smp_SRS013656,mouth
smp_SRS013658,mouth
smp_SRS013660,mouth
smp_SRS013662,mouth
smp_SRS013664,mouth
smp_SRS013666,ear
smp_SRS013668,ear
smp_SRS013674,nose
smp_SRS013676,ear
smp_SRS013678,ear
smp_SRS013680,arm
smp_SRS013681,arm
smp_SRS013683,nose
smp_SRS013687,stool
smp_SRS013699,mouth
smp_SRS013705,mouth
smp_SRS013708,mouth
smp_SRS013711,mouth
smp_SRS013714,mouth
smp_SRS013717,mouth
smp_SRS013720,mouth
smp_SRS013723,mouth
smp_SRS013727,ear
smp_SRS013729,mouth
smp_SRS013732,ear
smp_SRS013735,arm
smp_SRS013741,nose
smp_SRS013762,stool
smp_SRS013770,mouth
smp_SRS013774,mouth
smp_SRS013776,mouth
smp_SRS013778,mouth
smp_SRS013780,mouth
smp_SRS013782,mouth
smp_SRS013784,mouth
smp_SRS013786,mouth
smp_SRS013788,mouth
smp_SRS013798,nose
smp_SRS013801,stool
smp_SRS013813,mouth
smp_SRS013819,mouth
smp_SRS013822,mouth
smp_SRS013825,mouth
smp_SRS013831,mouth
smp_SRS013834,mouth
smp_SRS013837,mouth
smp_SRS014128,mouth
smp_SRS014130,mouth
smp_SRS014132,mouth
smp_SRS014138,mouth
smp_SRS014140,mouth
smp_SRS014235,stool
smp_SRS014237,ear
smp_SRS014239,ear
smp_SRS014241,arm
smp_SRS014247,nose
smp_SRS014253,mouth
smp_SRS014255,mouth
smp_SRS014257,mouth
smp_SRS014261,mouth
smp_SRS014267,mouth
smp_SRS014271,mouth
smp_SRS014273,mouth
smp_SRS014275,mouth
smp_SRS014277,mouth
smp_SRS014279,mouth
smp_SRS014281,mouth
smp_SRS014283,mouth
smp_SRS014287,stool
smp_SRS014289,ear
smp_SRS014291,ear
smp_SRS014295,arm
smp_SRS014297,nose
smp_SRS014315,mouth
smp_SRS014317,mouth
smp_SRS014321,mouth
smp_SRS014323,mouth
smp_SRS014331,ear
smp_SRS014335,arm
smp_SRS014337,nose
smp_SRS014339,vagina
smp_SRS014341,vagina
smp_SRS014343,vagina
smp_SRS014345,stool
smp_SRS014347,mouth
smp_SRS014349,mouth
smp_SRS014351,mouth
smp_SRS014353,mouth
smp_SRS014355,ear
smp_SRS014357,ear
smp_SRS014359,arm
smp_SRS014361,arm
smp_SRS014365,mouth
smp_SRS014367,mouth
smp_SRS014369,stool
smp_SRS014422,mouth
smp_SRS014424,mouth
smp_SRS014426,mouth
smp_SRS014428,mouth
smp_SRS014430,mouth
smp_SRS014432,mouth
smp_SRS014434,mouth
smp_SRS014436,mouth
smp_SRS014442,stool
smp_SRS014444,vagina
smp_SRS014446,vagina
smp_SRS014448,vagina
smp_SRS014450,ear
smp_SRS014452,ear
smp_SRS014454,arm
smp_SRS014456,arm
smp_SRS014458,nose
smp_SRS014538,ear
smp_SRS014544,nose
smp_SRS014546,vagina
smp_SRS014548,vagina
smp_SRS014550,vagina
smp_SRS014552,mouth
smp_SRS014554,mouth
smp_SRS014556,mouth
smp_SRS014560,mouth
smp_SRS014562,mouth
smp_SRS014564,mouth
