3001-189R-24	Anaerococcus tetradius
4Vag-338F-15	Lactobacillus crispatus
4Vag-338F-8	Lactobacillus jensenii
3376-338F-24	Atopobium vaginae
3025-338F-92	Fusobacterium gonidiaformans
3025-338F-91	Mycoplasma hominis
3025-338F-4	Megasphaera sp. type 2
3025-338F-60	Prevotella genogroup 3
3025-338F-43	Prevotella genogroup 4
3025-338F-5	Parvimonas micra
3025-189R-78	Fusobacterium gonidiaformans
3025-189R-64	Prevotella bivia
3025-189R-100	Prevotella genogroup 4
3025-189R-110	Prevotella genogroup 3
3025-96-f	Megasphaera sp. type 2
3025-9-f	Prevotella genogroup 3
3001-189R-46	Aerococcus christensenii
1057-129dg2R-13	Mobiluncus mulieris
123b-13-f	Megasphaera sp. type 2
123b-75-f	Peptoniphilus harei
123b-189R-13	Megasphaera sp. type 2
123b-189R-62	Peptoniphilus harei
123b-189R-11	Prevotella genogroup 4
S000013318	Aerococcus christensenii
S000574979	Aerococcus viridans
S000574981	Aerococcus viridans
S000926617	Aerococcus viridans
S001551017	Aerococcus viridans
S002352106	Aerococcus viridans
S000004394	Streptococcus thermophilus
S000004835	Streptococcus mitis
S000005540	Streptococcus gallolyticus
S000009737	Streptococcus equinus
S000011437	Streptococcus agalactiae
S000377883	Streptococcus equinus
S000379924	Streptococcus anginosus
S000381647	Streptococcus agalactiae
S000381650	Streptococcus equinus
S000381692	Streptococcus sanguinis
S000381771	Streptococcus anginosus
S000381772	Streptococcus anginosus
S000386900	Streptococcus sanguinis
S000386905	Streptococcus parasanguinis
S000394499	Streptococcus salivarius
S000400846	Streptococcus mutans
S000400850	Streptococcus salivarius
S000400852	Streptococcus thermophilus
S000405385	Streptococcus constellatus
S000406601	Streptococcus constellatus
S000425267	Streptococcus thermophilus
S000427357	Streptococcus parasanguinis
S000428921	Streptococcus intermedius
S000428922	Streptococcus intermedius
S000428923	Streptococcus intermedius
S000527987	Streptococcus anginosus
S000574762	Streptococcus gallolyticus
S000588210	Streptococcus equinus
S000603635	Streptococcus thermophilus
S000617861	Streptococcus salivarius
S000617883	Streptococcus parasanguinis
S000631781	Streptococcus gallolyticus
S000631783	Streptococcus gallolyticus
S000712821	Streptococcus mutans
S000750178	Streptococcus constellatus
S000750182	Streptococcus gallolyticus
S000901709	Streptococcus constellatus
S000901710	Streptococcus constellatus
S000901715	Streptococcus anginosus
S001019987	Streptococcus equinus
S001187501	Streptococcus mitis
S001187502	Streptococcus mutans
S001187506	Streptococcus oralis
S001187507	Streptococcus parasanguinis
S001187525	Streptococcus sanguinis
S001352161	Streptococcus sanguinis
S001588201	Streptococcus salivarius
S001744696	Streptococcus oralis
S001744699	Streptococcus oralis
S002034935	Streptococcus sanguinis
S002034936	Streptococcus mutans
S002034938	Streptococcus mutans
S002034953	Streptococcus parasanguinis
S002034956	Streptococcus oralis
S002034957	Streptococcus oralis
S002034959	Streptococcus salivarius
S002034964	Streptococcus intermedius
S002153234	Streptococcus thermophilus
S002229480	Streptococcus agalactiae
S002232071	Streptococcus intermedius
S002234309	Streptococcus agalactiae
S002353295	Streptococcus agalactiae
S000013990	Pediococcus acidilactici
S000014356	Pediococcus acidilactici
S000382416	Pediococcus acidilactici
S000927956	Pediococcus acidilactici
S001351216	Pediococcus acidilactici
S000008742	Lactobacillus gasseri
S000129424	Lactobacillus coleohominis
S000148333	Lactobacillus fermentum
S000389883	Lactobacillus crispatus
S000389884	Lactobacillus gasseri
S000389893	Lactobacillus gasseri
S000389895	Lactobacillus jensenii
S000389896	Lactobacillus vaginalis
S000389897	Lactobacillus jensenii
S000389899	Lactobacillus gasseri
S000389903	Lactobacillus jensenii
S000389904	Lactobacillus jensenii
S000389907	Lactobacillus gasseri
S000389909	Lactobacillus crispatus
S000389915	Lactobacillus gasseri
S000389918	Lactobacillus jensenii
S000389919	Lactobacillus vaginalis
S000390171	Lactobacillus crispatus
S000425270	Lactobacillus gasseri
S000438020	Lactobacillus fermentum
S000473520	Lactobacillus kalixensis
S000539954	Lactobacillus plantarum
S000540314	Lactobacillus plantarum
S000542976	Lactobacillus vaginalis
S000570459	Lactobacillus plantarum
S000608871	Lactobacillus coleohominis
S000636272	Lactobacillus crispatus
S000636355	Lactobacillus crispatus
S000639015	Lactobacillus crispatus
S000690975	Lactobacillus fermentum
S000735357	Lactobacillus gasseri
S000843159	Lactobacillus vaginalis
S000978737	Lactobacillus gasseri
S001019961	Lactobacillus fermentum
S001019974	Lactobacillus fermentum
S001019976	Lactobacillus fermentum
S001019981	Lactobacillus fermentum
S001019984	Lactobacillus plantarum
S001096702	Lactobacillus fermentum
S001096707	Lactobacillus jensenii
S001096709	Lactobacillus plantarum
S001096711	Lactobacillus jensenii
S001153628	Lactobacillus plantarum
S001240626	Lactobacillus vaginalis
S001240636	Lactobacillus vaginalis
S001264832	Lactobacillus plantarum
S001550569	Lactobacillus fermentum
S001589388	Lactobacillus vaginalis
S001745750	Lactobacillus plantarum
S001792815	Lactobacillus coleohominis
S001910616	Lactobacillus iners
S002165654	Lactobacillus gasseri
S002167256	Lactobacillus fermentum
S002228042	Lactobacillus plantarum
S002235418	Lactobacillus vaginalis
S002287889	Lactobacillus crispatus
S002352529	Lactobacillus plantarum
S002355765	Lactobacillus kalixensis
