p1z1r2,-4.6925049893,-2.2393245441,0
p1z1r34,2.4360988478,0.1862843605,8
p1z2r19,-3.6471954089,2.2923672575,8
p2z1r30,2.0066741694,0.1733003871,8
p2z1r31,-4.7791100262,1.4911834771,10
p2z1r32,2.2250045093,0.0549377077,10
p2z1r33,0.5542884017,0.5936840513,10
p2z1r34,2.2860622742,0.0607341846,8
p2z1r35,-4.7816978341,1.2030814955,1
p2z1r36,-1.5899469213,1.2849493526,0
p2z1r37,0.4733793896,0.8577511337,8
p2z1r39,2.2192260893,0.1312604267,8
p2z1r40,-4.8318117565,2.6494417177,0
p2z1r41,3.0776087368,0.1657944944,8
p2z1r42,2.3333358355,0.0520000821,9
p2z1r47,1.337097859,0.5013684017,9
p2z1r66,1.3721717141,0.636345565,8
p2z1r67,-4.6436768209,-2.1146030228,0
p2z1r69,2.2124658003,0.0791278476,8
p2z1r70,1.6225703202,0.3944456943,10
p2z1r79,-3.9327607007,2.2117897239,6
p3z1r1,2.1380465718,0.1420089354,10
p3z1r10,-3.0623141773,1.6417938945,8
p3z1r11,2.5710230427,0.0718415186,8
p3z1r12,1.3260575872,0.489315796,8
p3z1r13,-2.3061325815,1.8905039051,8
p3z1r14,-4.6278913107,1.0939648447,0
p3z1r15,2.1123981431,0.0526803774,10
p3z1r16,0.2721868947,0.936008547,8
p3z1r17,-4.8560411753,2.7876835757,1
p3z1r18,2.2601444081,0.0967931151,7
p3z1r19,2.0737050165,0.3269129784,8
p3z1r2,1.4966755628,0.3294460572,8
p3z1r21,-4.2562536062,2.3187218184,8
p3z1r22,-4.3976559257,2.612315245,7
p3z1r24,2.7373318481,0.1674644938,8
p3z1r25,-4.9021028894,2.8900005698,0
p3z1r28,-4.6530629665,2.0533341411,0
p3z1r29,-4.6550548325,-3.0295798663,0
p3z1r3,1.2931869911,-0.3189530796,8
p3z1r30,1.3113764232,0.1010390473,8
p3z1r31,-4.7064631156,2.5019308113,3
p3z1r32,-4.8032883578,1.0382062481,0
p3z1r33,2.2295794502,0.1137380132,8
p3z1r34,-4.4326532344,2.6528901793,1
p3z1r35,-4.4787090908,-2.712360852,0
p3z1r36,-4.6507764075,-3.062729621,0
p3z1r37,-4.5692069084,2.2613360568,2
p3z1r38,-2.3283143335,1.4412735462,8
p3z1r4,2.1741151722,0.2659765993,8
p3z1r42,-4.6033782643,-2.9184909124,0
p3z1r5,2.2763680844,0.1593864351,8
p3z1r55,-4.8378640612,2.7441168628,0
p3z1r6,-4.4323583982,2.4957610683,8
p3z1r61,1.5534350738,0.4893194838,8
p3z1r62,-4.7057533126,-2.6269308669,0
p3z1r63,-4.5958588983,-2.7761849552,0
p3z1r64,-4.6565006721,-2.9702533165,0
p3z1r65,2.1507838598,0.1612597446,10
p3z1r66,-4.6550620192,-2.7709463485,0
p3z1r68,-4.589397804,-2.9821784321,0
p3z1r69,-4.4002886342,2.6405335208,1
p3z1r7,-4.527368608,2.0369387555,0
p3z1r71,-4.5368674193,-2.9836170906,0
p3z1r72,-4.6838971302,-3.0979466005,0
p3z1r73,-4.5873666984,-2.9360723953,0
p3z1r75,2.3624804431,0.0814541969,8
p3z1r76,2.0571943813,0.3316442116,7
p3z1r77,2.2348650917,0.2459274484,8
p3z1r78,-4.5310997423,1.6377129667,0
p3z1r79,-2.7358744539,1.9105441494,8
p3z1r8,2.6082962603,0.1225455159,8
p3z1r80,-1.638052042,1.54677415,10
p3z1r9,-1.327674101,0.3204240285,8
p3z2r10,1.0378442616,0.7101893695,8
p3z2r12,-4.7634948545,2.6560680755,2
p3z2r13,-2.9731399145,2.1612977338,7
p3z2r15,-4.6612564156,-3.02795319,0
p3z2r16,2.1180041089,0.0767821692,8
p3z2r17,0.5964219293,0.7093024662,8
p3z2r18,-1.1682444495,1.2140183653,8
p3z2r2,2.2824275721,0.0589006489,8
p3z2r21,2.0655456169,0.1437386808,8
p3z2r22,-4.8671343352,2.8800341073,0
p3z2r26,-4.9009406089,2.8890520539,0
p3z2r28,-4.7217681815,-0.29098576,0
p3z2r3,-4.6000150502,-2.0257080799,0
p3z2r30,1.7473891969,0.2883211349,8
p3z2r31,1.3674661073,0.3560061431,8
p3z2r49,2.0035592787,0.137997085,10
p3z2r5,2.0988341354,0.0841960399,8
p3z2r55,1.6637879624,0.3112018133,8
p3z2r6,-4.7462705024,2.5619320916,0
p3z2r63,2.2790124082,0.0873926881,8
p3z2r65,2.2916899394,0.1659808925,10
p3z2r68,-4.8138100475,1.4480062783,0
p3z2r7,-4.6775292427,-3.0618786204,0
p3z2r71,2.9943170412,0.1725167966,6
p3z2r73,-2.1120148572,-1.7281859907,4
p3z2r75,2.411095304,0.0840408606,10
p3z2r76,-4.6846798658,-2.5385523514,0
p3z2r78,2.4343060193,0.0833966346,8
p3z2r79,0.4059865295,0.8540264257,8
p3z2r8,2.2415830914,0.0961694157,10
p4z1r1,-4.8003738582,0.5949503831,0
p4z1r10,-4.8445687049,2.8015561757,1
p4z1r11,2.7709785,0.1479948498,8
p4z1r12,-4.7959117541,2.5019334616,0
p4z1r13,2.2777221917,0.1005653633,8
p4z1r14,-4.6381287719,-3.0043798782,0
p4z1r15,3.4410732319,0.1764994774,1
p4z1r16,-4.6442964679,-2.883679632,0
p4z1r18,-4.4831333081,1.7432153128,0
p4z1r19,-4.8639419814,2.8765933318,2
p4z1r2,1.7258633207,0.0279292176,6
p4z1r21,-4.4780669939,1.9008748564,4
p4z1r22,-4.6742584103,-3.0534661387,0
p4z1r23,-0.2060419375,0.9230525426,1
p4z1r24,2.0692984823,0.276486455,10
p4z1r25,2.5855320126,0.1172153908,8
p4z1r26,-4.5173955644,1.9780184797,0
p4z1r27,-4.0903683817,2.1485772935,7
p4z1r28,1.874372151,0.2370385697,8
p4z1r29,-2.0381436995,1.7852204361,8
p4z1r3,1.257748403,0.5844539564,8
