sample,region
srp_SRS074627,mouth
smp_SRS052681,mouth
smp_SRS017665,mouth
smp_SRS063551,mouth
smp_SRS044788,mouth
srp_SRS074709,mouth
srp_SRS098567,mouth
srp_SRS145735,mouth
smp_SRS024277,mouth
srp_SRS148228,mouth
srp_SRS150177,mouth
smp_SRS021496,mouth
smp_SRS011571,mouth
srp_SRS148432,mouth
smp_SRS019568,mouth
smp_SRS016160,mouth
srp_SRS018335,mouth
srp_SRS077050,mouth
srp_SRS150071,mouth
smp_SRS024044,mouth
srp_SRS062765,mouth
srp_SRS104390,mouth
srp_SRS148911,mouth
smp_SRS063184,mouth
srp_SRS102830,mouth
srp_SRS144726,mouth
srp_SRS075376,mouth
smp_SRS013255,mouth
srp_SRS145469,mouth
smp_SRS020714,mouth
smp_SRS049266,mouth
smp_SRS024470,mouth
smp_SRS015878,mouth
srp_SRS102963,mouth
srp_SRS147056,mouth
smp_SRS018999,mouth
smp_SRS011427,mouth
srp_SRS018449,mouth
smp_SRS045858,mouth
smp_SRS021451,mouth
smp_SRS062851,mouth
smp_SRS065224,mouth
smp_SRS014762,mouth
smp_SRS064483,mouth
srp_SRS147976,mouth
srp_SRS075898,mouth
srp_SRS143257,mouth
smp_SRS021563,mouth
smp_SRS021255,mouth
smp_SRS046281,mouth
smp_SRS016874,mouth
smp_SRS020014,mouth
smp_SRS021740,mouth
smp_SRS020938,mouth
smp_SRS055847,mouth
srp_SRS103975,mouth
smp_SRS016761,mouth
smp_SRS063287,mouth
smp_SRS016666,mouth
smp_SRS020606,mouth
smp_SRS056511,mouth
smp_SRS022436,mouth
smp_SRS063888,mouth
srp_SRS102684,mouth
srp_SRS145024,mouth
smp_SRS048998,mouth
smp_SRS024531,mouth
smp_SRS011470,mouth
srp_SRS077149,mouth
srp_SRS075231,mouth
smp_SRS015716,mouth
smp_SRS055003,mouth
srp_SRS105098,mouth
srp_SRS148486,mouth
srp_SRS098778,mouth
smp_SRS054465,mouth
srp_SRS149302,mouth
smp_SRS016928,mouth
smp_SRS020484,mouth
smp_SRS054998,mouth
srp_SRS077514,mouth
smp_SRS023381,mouth
srp_SRS047816,mouth
smp_SRS044938,mouth
srp_SRS144112,mouth
smp_SRS022948,mouth
smp_SRS045466,mouth
smp_SRS021089,mouth
srp_SRS148901,mouth
srp_SRS075241,mouth
smp_SRS021627,mouth
smp_SRS016600,mouth
srp_SRS140911,mouth
srp_SRS098290,mouth
srp_SRS103764,mouth
srp_SRS017786,mouth
srp_SRS144954,mouth
srp_SRS079124,mouth
smp_SRS057569,mouth
srp_SRS148434,mouth
smp_SRS014873,mouth
smp_SRS015033,mouth
smp_SRS018439,mouth
srp_SRS146003,mouth
smp_SRS022049,mouth
smp_SRS064327,mouth
srp_SRS142838,mouth
srp_SRS078753,mouth
srp_SRS098399,mouth
smp_SRS047260,mouth
smp_SRS049113,mouth
smp_SRS048242,mouth
smp_SRS055927,mouth
smp_SRS020706,mouth
smp_SRS053096,mouth
srp_SRS143874,mouth
srp_SRS149500,mouth
smp_SRS016932,mouth
srp_SRS142969,mouth
srp_SRS075111,mouth
srp_SRS098675,mouth
srp_SRS102832,mouth
srp_SRS147510,mouth
smp_SRS018151,mouth
srp_SRS103659,mouth
smp_SRS022362,mouth
srp_SRS077260,mouth
smp_SRS015407,mouth
srp_SRS078641,mouth
srp_SRS099952,mouth
smp_SRS045945,mouth
