p1z1r2	0
p1z1r34	2
p1z2r19	0
p2z1r30	2
p2z1r31	0
p2z1r32	2
p2z1r33	2
p2z1r34	2
p2z1r35	0
p2z1r36	2
p2z1r37	2
p2z1r39	2
p2z1r40	0
p2z1r41	1
p2z1r42	2
p2z1r47	2
p2z1r66	2
p2z1r67	0
p2z1r69	2
p2z1r70	2
p2z1r79	0
p3z1r1	2
p3z1r10	0
p3z1r11	1
p3z1r12	1
p3z1r13	2
p3z1r14	0
p3z1r15	2
p3z1r16	2
p3z1r17	0
p3z1r18	2
p3z1r19	2
p3z1r2	2
p3z1r21	0
p3z1r22	0
p3z1r24	2
p3z1r25	0
p3z1r28	0
p3z1r29	0
p3z1r3	2
p3z1r30	2
p3z1r31	0
p3z1r32	0
p3z1r33	2
p3z1r34	0
p3z1r35	0
p3z1r36	0
p3z1r37	0
p3z1r38	2
p3z1r4	2
p3z1r42	0
p3z1r5	2
p3z1r55	0
p3z1r6	0
p3z1r61	2
p3z1r62	0
p3z1r63	0
p3z1r64	0
p3z1r65	2
p3z1r66	0
p3z1r68	0
p3z1r69	0
p3z1r7	0
p3z1r71	0
p3z1r72	0
p3z1r73	0
p3z1r75	2
p3z1r76	2
p3z1r77	2
p3z1r78	0
p3z1r79	0
p3z1r8	2
p3z1r80	0
p3z1r9	2
p3z2r10	2
p3z2r12	0
p3z2r13	2
p3z2r15	0
p3z2r16	2
p3z2r17	2
p3z2r18	2
p3z2r2	2
p3z2r21	2
p3z2r22	0
p3z2r26	0
p3z2r28	0
p3z2r3	0
p3z2r30	2
p3z2r31	2
p3z2r49	2
p3z2r5	2
p3z2r55	2
p3z2r6	0
p3z2r63	2
p3z2r65	2
p3z2r68	0
p3z2r7	0
p3z2r71	1
p3z2r73	2
p3z2r75	2
p3z2r76	0
p3z2r78	2
p3z2r79	2
p3z2r8	2
p4z1r1	0
p4z1r10	0
p4z1r11	1
p4z1r12	0
p4z1r13	1
p4z1r14	0
p4z1r15	1
p4z1r16	0
p4z1r18	0
p4z1r19	0
p4z1r2	2
p4z1r21	0
p4z1r22	0
p4z1r23	2
p4z1r24	2
p4z1r25	1
p4z1r26	0
p4z1r27	0
p4z1r28	2
p4z1r29	2
p4z1r3	2
p4z1r30	0
p4z1r31	2
p4z1r32	0
p4z1r33	0
p4z1r34	2
p4z1r35	2
p4z1r36	2
p4z1r37	0
p4z1r38	2
p4z1r39	2
p4z1r4	2
p4z1r40	0
p4z1r42	2
p4z1r47	0
p4z1r5	0
p4z1r6	2
p4z1r61	2
p4z1r62	0
p4z1r63	1
p4z1r64	2
p4z1r65	2
p4z1r66	2
p4z1r67	2
p4z1r68	1
p4z1r69	2
p4z1r7	0
p4z1r70	2
p4z1r71	0
p4z1r72	0
p4z1r73	2
p4z1r76	2
p4z1r77	2
p4z1r78	0
p4z1r79	0
p4z1r8	0
p4z1r80	0
p4z1r9	0
p4z2r1	2
p4z2r10	2
p4z2r11	2
p4z2r12	0
p4z2r13	0
p4z2r14	2
p4z2r15	0
p4z2r16	2
p4z2r17	0
p4z2r18	2
p4z2r19	2
p4z2r2	2
p4z2r21	0
p4z2r22	2
p4z2r23	1
p4z2r24	2
p4z2r25	0
p4z2r26	2
p4z2r27	2
p4z2r28	0
p4z2r29	0
p4z2r3	0
p4z2r30	2
p4z2r31	0
p4z2r32	0
p4z2r33	2
p4z2r34	0
p4z2r35	0
p4z2r36	1
p4z2r37	2
p4z2r38	2
p4z2r39	0
p4z2r4	0
p4z2r40	2
p4z2r5	0
p4z2r50	0
p4z2r6	0
p4z2r61	0
p4z2r62	0
p4z2r63	0
p4z2r64	2
p4z2r65	0
p4z2r66	2
p4z2r67	0
p4z2r68	0
p4z2r69	0
p4z2r7	0
p4z2r71	2
p4z2r72	0
p4z2r73	0
p4z2r75	2
p4z2r76	2
p4z2r77	0
p4z2r78	2
p4z2r79	0
p4z2r8	0
p4z2r80	0
p4z2r9	0
